Startup,URL,Business Description,"Funding 
Round","Total 
funding (US$)",Opportunity Space,,Founded,Country
Tusimple,https://www.tusimple.com/,"TuSimple is developing a commercial-ready Level 4 (SAE) fully autonomous driving solution for the logistics industry. The company is driven by a mission to increase safety, decrease transportation costs, and reduce carbon emissions.",Series D,"298,100,000",In-land infrastructure development,,2015,USA
Cybereason,https://www.cybereason.com/,"Cybereason provides endpoint threat detection and response solution to the organizations. Products offered by the company are Endpoint Detection and Response (EDR), Next-Generation Antivirus (NGAV), and Managed Detection and Response (MDR). ",Series E,"400,000,000",Port cybersecurity,,2012,USA
Intelligent Cargo Systems,https://intelligentcargosystems.com/,"The software ensures real-time updates on the port status and performance reporting for actionable insights. By accurately predicting cargo completion time in advance, companies can start reducing turnaround time in port and bunker consumption at sea. Ship operators are notified of this analytics via the Intelligent Cargo Systems dashboard, enabling them to make data-driven decisions to save money, time and the environment.",Seed,,Port bottleneck optimisation,,2017,England
Darktrace,https://www.darktrace.com/en/,"Darktrace Cyber Intelligence Platform (DCIP) is Darktrace's leading Enterprise Immune Systems solution designed to counter the serious and sophisticated forms of attack, including Advanced Persistent Threats and insider threats. Capable of monitoring network, host and mobile device activity across the enterprise. ",Series E,"230,500,000",Port cybersecurity,,2013,England
Fleet,https://www.tryfleet.com/,"Fleet is a digital freight forwarding platform that offers end-to-end international freight shipping services, from getting instant rates, instant booking, to freight management and delivery. Fleet’s technology gives importers, exporters and any business that needs freight transportation unlimited access to services from world’s top freight service providers across the globe, including ocean carriers, airlines, to customs brokers, trucking, LTL carriers.",Series A,"14,000,000",Intelligent freight price discovery,,2015,USA
Kontainers,https://kontainers.com/,"Kontainers is an online marketplace for container shipping. It instantly gives rates for over 250 of the largest ports for UK exporters (and growing). It also allows users to book and transact their shipment online, handles customs and gives real-time tracking updates.",Seed,"1,440,000",Paperwork simplification/reduction,,2014,England
Haven,https://haveninc.com/,"Haven facilitates automated ocean freight reservation by providing shippers with transparent billing. It is marketplace for buying and selling ocean freight capacity. It offers live spot rates, route utilization and port volume data. Shippers can request quotes or bid for guaranteed shipping container capacity and carriers can sell their slot capacity. It also allows a customer to choose from a number of available carriers and indicate their preferred partners. Haven charges a low flat fee per-container for a port-to-port booking.",Series A,"19,200,000",Intelligent freight price discovery,,2014,USA
Turvo,https://turvo.com/,"Turvo is a technology company which provides tools for players involved in the shipping process. The solutions include a collaborative platform through which shippers, brokers, and carriers can interact with each other. Claims to improve efficiency and accuracy amongst processes involving multiple stakeholders. The platform provides features like order consolidation to optimise routes and shipping process, AI-powered algorithms for carrier matching, real-time visibility for all stakeholders for tracking and monitoring assets, cross-platform visibility, communication and messaging service etc. The platform is cloud-based and can be integrated to business applications like SAP, Oracle, Salesforce, Workday, QuickBooks, and Xero less",Series B,"100,000,000",End-to-end supply chain transparency,,2014,USA
Wakeo,https://wakeo.co/,"Wakeo provides solutions for real-time visibility on multi-modal shipments/cargo via its web-based portal which is also powered by machine learning algorithms. Users can track & trace shipments along the entire supply chain, receive predictive insights on delays, view performance & manage KPIs.",Seed,"21,500,000",End-to-end supply chain transparency,,2016,France
Easycargo 3D,https://www.easycargo3d.com/en/,"Easycargo 3D provides a cloud-based software solution for truck and container loading. Customers can generate a loading plan by providing details of different shipments to be loaded on the truck. After the plan is generated, the customer can view and interact with the 3D output. Additional features include the ability to define custom vehicles or containers, bulk import, priority grouping based on route plan. As of Sep 2017, it claims to have more than 100 clients worldwide including DSV, FedEx, AEG and John Deere among others. Pricing is based on the duration of usage starting at 4.9 Euros per day.",Undisclosed,,Container logistics optimisation,,2013,Czech Republic
Cognosos,https://www.cognosos.com/,"Cognosos is the provider of RadioTrax, an Internet of Things enabled asset tracking solution. The company provides low powered battery devices that monitor the assets in real-time and sends the data to the cloud. The company delivers the solution using a patented technology called RadioCloud. It uses software-defined radio (SDR) technology to reliably communicate over kilometers of range with multi-year battery life. Claims that SDR combined with advanced signal processing in the cloud allows the wireless devices to reliably communicate over kilometers of range. As of May 2018, the company claims to hold approximately 15 Patents (includes both issued and pending).",Series A,"11,400,000",In-land infrastructure development,,2014,USA
Conexbird,https://conexbird.com/,"Conexbird offers services for logistic and 3PL players to track their shipment, provide information regarding container parameters and data analytics. Conexbird provides the following three solutions:
 1. Wave: It tracks the position of cargo in real time
 2. Wind: It tracks the container condition and identifies bottlenecks in container handling processes
 3. Data tools: Analyse the data captured at various points in the supply chain.The products are based on cloud platform and can be accessed remotely.",Seed,"715,000",Container logistics optimisation,,2013,Finland
Otto Motors,https://ottomotors.com/,"Otto Motors, a division of Clearpath, has developed an autonomous AGV specifically for use in material transport in distribution center, a warehouse or a manufacturing facility. The robots can be controlled with a 'Dispatch App' built on Clearpath Operating System, which is a platform designed for quick deployment of delivery routes in the facility. The AGVs are designed to work with the onboard sensors itself and no additional hardware - such as beacons, magnetic tapes are required. The robots can even integrate with existing 3rd party ERP solutions to exchange data.",Series B,"41,100,000",Automated port infrastructure,,2015,Canada
Jointainer,http://www.jointainer.com/,"Jointainer provides modular 20 and 40 feet containers that can be combined with another jointainer to make larger containers. Also, two connected Jointainers can be separated to create two 20-foot containers. Jointainer claims that the modular containers are compatible with all existing infrastructure (trucks, container ships, and railcars) and have ben designed to be easily operated, and adhere to stringent engineering principles.",Undisclosed,,Container logistics optimisation,,2015,USA
The Cold Box,https://www.thecoldbox.com/,"The Cold Box is a temperature controlled, trackable container for transporting temperature controlled products. The company claims that their product can maintain temperatures between -29C to 49C, can be tracked in real time, is self-powered through a battery system and is built so that it can be shipped through a common carrier, LTL trucking, or rail transport. Allows for enterprises to either buy it, or offer rental plans for upto 60 months.",Series A,"17,600,000",Time Sensitive Transport,,2014,USA
CargoX,https://cargox.io/welcome/,"CargoX aims to disrupt the global logistics industry by introducing Smart B/L documents based on blockchain technology, replacing old-style paper Bill of Lading documents. Claims to reduce the time taken for transfer of ownership from the traditional 5-10 days involving physical transfer of the certificate to 20 sec by building a smart contract for the transfer of ownership.",Seed,"7,000,000",Paperwork simplification/reduction,,2017,Slovenia
Contguard,https://www.contguard.com/,"Contguard provides its clients with real-time monitoring services for their TEU cargo and also analysis this data to come up with insights for the clients. The company provides ""ContGuard Monitoring unit"", which when installed on maritime containers transmit the information required to track and monitor the cargo’s whereabouts across the globe. Claims its major clients as defence, pharma companies , and other sensitive industries that demand full 24/7 control over their sensitive cargo.",Series A,"11,500,000",Time Sensitive Transport,,2012,Israel
KNL Networks,https://knlnetworks.com/,"KNL Networks utilizes software defined radio and cognitive radio technologies to deliver long range communication systems on a Mesh radio network.KNL’s communication system relies on short wave radio transmissions, allowing data to be transmitted over thousands of kilometers and with their innovative HF radio system KNL is capable of providing IP-based communications over traditional radio waves.They provide reliable and secure long range communications for security, defense, and shipping industry.",Series A,"12,700,000",Port cybersecurity,,2011,Finland
Project44,https://www.project44.com/,"Project44 provides cloud-based software solutions to manage end-to-end shipping and fulfilments for e-tailers. The solution connects shippers and 3PLs to their carriers through TMS integration. It enables users to pull carrier rate quotes, automates dispatch requests, tracks shipments and pulls images (bill of lading, proof of delivery). Also offers solutions such as carrier’s rating, dispatch, tracking, dynamic rate quotes and others. The company offers solutions for manufacturers, retailers, CPG and others. less",Series C,"90,500,000",End-to-end supply chain transparency,,2014,USA
Ambrosus,https://ambrosus.com/,"Ambrosus claims to be working on re-inventing supply chains through tracking product sourcing & storage data on a blockchain. The system will allow individuals to transact remotely through tokens on their blockchain. They claim that their anti-tampering mechanisms combined with bio-sensors and food-tracers will assess, monitor and publish in real-time, the conditions in which a produce has been sourced and transported from. In addition, the tokens issued on Ethereum are claimed to be scalable and smart contract encodable. less",Seed,"30,000,000",Time Sensitive Transport,,2011,Switzerland
Incodocs,https://incodocs.com/,"Incodocs provides an online platform to create shipping documents. Customers can create documents such as commercial invoices, shipper's letter of instruction, packing list, VGM declaration, packing declaration and certificate of origin. Pricing is dependent on the type of plan starting at 9 dollars per month.",Seed,"915,000",Paperwork simplification/reduction,,2016,Australia
Vector,https://www.withvector.com/,"Vector provides AI-enabled document and transport management solutions to the logistics industry. Offers 'LoadDocs', an AI-enabled document management solution which allows users to digitize & classify documents and extract key information automatically. Additionally, the company also offers a transport management platform which serves as an add-on to Transport Management Systems (TMS) with functionalities such as BI & analytics, competitor benchmarking, optimization engine to efficiently match orders with drivers/vehicles based on various constraints, and more. Additionally, users can also create client portals and provide them with features such as visibility, centralized communication, and reporting. Clients include Buchheit Logistics, Shifflet Brothers, Leavitt's Freight Service, Button Transportation among others. less",Series A,"12,000,000",Paperwork simplification/reduction,,2014,USA
CargoSense,https://www.cargosense.com/,"CargoSense provides AI-enabled analytics services for supply chain networks to optimize logistics processes in healthcare, food, medical devices, and other industries. The company offers a SaaS-based solution that collects & analyzes data to provide insights into cargo temperature, logistics operations, shipment visibility/tracking, and cold-chain operations.",Series A,"10,100,000",End-to-end supply chain transparency,,2012,USA
Modum,https://www.modum.io/,Modum.io creates sensor devices leveraging blockchain technology to assert data immutability and public accessibility while saving costs in the pharma supply chain. It monitors the temperature of each parcel during the shipment to fully ensure GDP regulations. All data is transferred to the blockchain where a smart contract assesses against the product attributes,Seed,"30,200,000",Time Sensitive Transport,,2016,Switzerland
Accipiter Radar Technologies,https://www.accipiterradar.com/,"Accipiter Radar provides 2D & 3D radar systems for persistent detection and tracking of cooperative and uncooperative targets on the water, in the air and on the ground. Products include Accipiter’s M3 Target Information System, a multi-sensor, multi-mission & multi-user platform for target data processing, query and retrieval; and Surveillance-to-Intelligence tools for a live tactical situational awareness in homeland security, aviation safety, and environmental protection. Other solutions include Radar-as-a-Service (RaaS), a cloud-based, real-time air domain awareness (ADA) and maritime domain awareness (MDA) intelligence and Cloud Intelligence service, a browser-based analytics detailing historical target traffic patterns over a region and time period.",Series A,"4,700,000",Automated port surveillance,,1994,USA
Simio,https://www.simio.com/applications/port-simulation-software/,"Simio LLC delivers solutions for the design, emulation, and scheduling of complex systems. Simio is designed from the ground up to support the object modeling paradigm. It also supports the seamless use of multiple modeling paradigms including a process orientation and event orientation. ",Seed,"2,380,000",Digital twin of port,,2006,USA
Sigfox,https://www.sigfox.com/en/supply-chain-logistics,"The next generation of Sigfox- enabled IoT devices and solutions IoT solutions offer flexibility, affordability, and an end-to-end view of the supply chain in real time. Easily monitor the location and condition of goods as they travel by land, sea, and air. Smart logistic solutions even offer improved security for warehouses and fleet vehicles, giving your transport and logistics company.",Series E,"406,000,000",End-to-end supply chain transparency,,2009,France
Parsyl,https://www.parsyl.com/,"Parsyl is a startup developing solutions in the field of cargo/shipment tracking and management. Offers an integrated hardware and software solution to enable real-time tracking & monitoring of cargo/shipments and its physical parameters such as temperature, humidity, pressure, light exposure, etc.",Series B,"21,300,000",Time Sensitive Transport,,2016,USA
Fleet space,https://www.fleet.space/,"Fleet space designs, develops and operates nanosatellites to form satellite communication network. They reduced cost of satellites further reducing risk associated with space. Their fleet is ideal for connecting devices and sensors in industries such as oil & gas, mining, agriculture, transport and logistics, science and research, environmental monitoring as well as consumer IoT applications and simple communications.",Series A,"11,100,000",End-to-end supply chain transparency,,2015,Australia
GeoSpock,https://geospock.com/en/,"GeoSpock provides a big data engine called infin8, specifically for geotagged big data. infin8 is an indexing engine that powers GeoSpock's customer-facing products illumin8 and extrapol8. illumin8 allows enterprises to view and analyze their indexed big data to identify patterns etc. extrapol8 allows users to query information using SQL. GeoSpock claims that infin8 is able to work at extremely large scale with high data-throughput, whilst maintaining real-time responsiveness.",Series A,"28,000,000",End-to-end supply chain transparency,,2013,England
UnseenLabs,https://unseenlabs.space/,"UnseenLabs is building satellite network to provide spectrum monitoring data for maritime surveillance. Its system will provide 5 Km wide precise location with 95% detection rate with every 25 min real-time update. Potential customers include insurance companies, logistics providers, government agencies, etc. They also provide turnkey solutions for satellite design to launch.",Undisclosed,"9,000,000",Automated port surveillance,,2015,France
Boxhub,https://www.boxhub.co/,Buying new and used shipping containers,Undisclosed,,Container logistics optimisation,,2017,USA
My Logisticz,http://mylogisticz.com/,"myLOGISTICZ provides an analytics driven, technology agnostic business solution based on IOT for Supply Chain Management (SCM) businesses.",Undisclosed,,Container logistics optimisation,,2016,USA
EyeFreight,http://www.eyefreight.com,"Eyefreight Transportation Management Systems support large, multi-national shippers by providing a single platform for central coordination and detailed data visibility over complex, global-wide transportation operations. ",Seed,"9,900,000",Paperwork simplification/reduction,,2009,Netherlands
Exim Chain,http://www.eximchain.com,"Eximchain is a protocol for scalable, public blockchain networks with privacy for enterprise supply chain applications.",Seed,"20,000,000",Paperwork simplification/reduction,,2015,Singapore
Ship supplies direct,https://www.shipsuppliesdirect.com/,Shipsuppliesdirect.com is an online marketplace that aims to make it super easy for Seafarers to shop for their personal items.,Seed,,Container logistics optimisation,,2018,Singapore
Panjiva,https://cn.panjiva.com/,"Panjiva Supply Chain Intelligence, a product offering from S&P Global Market Intelligence, brings you unrivaled insights on
the global supply chain. ",Undisclosed,,Container logistics optimisation,,2006,USA
OriginTrail,https://origintrail.io,"OriginTrail is an ecosystem dedicated to making supply chains work together since 2011, contributing to a more transparent, fair, and trusted global supply chain.",Series A,"22,500,000",Paperwork simplification/reduction,,2011,Slovenia
Freight Crate,https://freightcrate.in/,FreightCrate Technologies is a logistics technology company that is automating and optimising international shipping for global businesses. ,Undisclosed,,Intelligent freight price discovery,,2016,India
MatchBack Systems,http://matchbacksystems.com,"MatchBack Systems, Inc. provides the leading software services to optimize and automate container matchbacks.",Seed,"415,000",Container logistics optimisation,,2014,USA
Intugine,https://www.intugine.com/,Intugine Technologies help in building a sustainable ecosystem for all logistic needs.,Seed,,End-to-end supply chain transparency,,2013,India
Yungehuo,http://yungehuo.com/,The main business is to provide comprehensive solutions for container multimodal transport logistics for international and domestic SME cargo owners.,Series A,,Container logistics optimisation,,2018,China
Ubicated,http://www.ubicated.com/,Ubicated you will make your business grow by connecting it with more people and companies that need your products or services around the world.,Undisclosed,,Container logistics optimisation,,2019,Mexico
Zdongpin,http://zdongpin.com,"Xinling Technology has successfully established two product lines: the ""Find frozen products"" information platform and the ""Frozen Staff"" procurement system.The Chongqing Freeze Staff Project has been officially launched, and the logistics system is also being prepared.",Undisclosed,,Time Sensitive Transport,,2015,China
cropbox,https://cropbox.co/,"It's a completely turn key agricultural system without worries about the weather, pests, heating prices or water. By growing the equivalent of an acre of field grown crops or 2,200 square feet of greenhouse space within a 320 sq ft footprint, the Crop Box is among the world's most highest yielding agricultural systems",Undisclosed,,Retrofitting existing vessels with green tech,,2014,USA
PORTXL,http://www.portxl.org/,drive innovation for the maritime ecosystem by accelerating start-ups,Undisclosed,,Automated port infrastructure,,2015,Netherlands
Brieftrace,https://www.brieftrace.com/,Brieftrace ltd.  focuses on connecting the broken links in the supply chain using IoT technology. ,Undisclosed,,Paperwork simplification/reduction,,2016,Israel
Tradechain,https://dtco.co/,"Digital Treasury Corporation (DTCO) was founded in 2014. The corporate management consist of blockchain developers along with influential members from the fields of finance, ICT, biomedical and healthcare industries.
",Undisclosed,,Paperwork simplification/reduction,,2014,China
Orbcomm,https://www.orbcomm.com/en/industries/maritime,"ORBCOMM (Nasdaq: ORBC) is a global leader and innovator in the industrial Internet of Things (IoT), providing solutions that connect businesses to their assets to deliver increased visibility and operational efficiency. ",Undisclosed,,Automated port infrastructure,,1993,USA
nauticAi,https://nauticai.com/,"We specialise in utilising IoT, external and internal company data to drive insights and automate operational processes.",Undisclosed,,Automated port infrastructure,,2018,Finland
Atomation,http://atomation.net/,Atomation is a team of makers and techies dedicated to forming an end-to-end IoT platform for the seamless creation of smart objects. ,Seed,"5,100,000",End-to-end supply chain transparency,,2014,USA
Terminal 49,http://www.terminal49.com,Terminal 49 is the first container trucking service fully developed on modern technology. We work with importing and exporting businesses to help them move shipping containers from the port to the warehouse in a less expensive and less cumbersome way.,Undisclosed,,End-to-end supply chain transparency,,2015,USA
Concirrus,http://www.concirrus.com, provides proprietary behavioural data and predictive models that significantly outperform traditional risk assessment and underwriting techniques,Series C,"14,300,000",Disaster proofing and management,,2012,England
TRACTABLE,http://www.tractable.ai,develops artificial intelligence for accident & disaster recovery,Undisclosed,,Disaster proofing and management,,2014,England
maridata,https://www.maridata.com,"MariData lets you analyse all aspects of global shipping to develop unique market insights, identify investment opportunities, and monitor the activity of individual ships, or whole industry sectors.",Undisclosed,,Intelligent freight price discovery,,2012,England
Glomaris,http://www.glomaris.com/why-glomaris/,Glomaris is an easy-to-use shipping management solution that addresses the challenges facing the shipping industry,Undisclosed,,Port bottleneck optimisation,,2000,Canada
2da,http://www.2da.us/,2DA is a software company and analytics lab focused on developing decision support solutions for commodity supply & trading businesses.  ,Series A,"1,100,000",Data audit & standardisation,,2016,USA
Cool4sea,https://www.cool4sea.com/,COOL4SEA develops and realizes cost-effective and environmentally friendly cooling solutions that are especially designed for the maritime transport industry.,Undisclosed,,Retrofitting existing vessels with green tech,,2014,Denmark
Compass Telematics,http://www.compasstelematics.com,"Compass Telematics brings to Asia Pacific, a global GPS-based technology provider dedicated to developing better ways to capture and apply location, behavior and driver data (from assets in real-time) to the pursuit of informed, smart and profitable decisions. ",Undisclosed,,Port bottleneck optimisation,,2012,Singapore
E-PORTS,https://www.e-ports.com/zh,"E-PORTS is a leading e-commerce platform for integrating and analyzing information from ports across China, providing IT solutions for the global shipping agency industry. Our aim is to develop a new business model for the revolutionary innovations occurring in the shipping industry and lead an upgrade in industrial structure and port-related services. ",Seed,"2,900,000",Intelligent freight price discovery,,2015,China
Optimum Voyage,http://www.optimumvoyage.com,Optimum Voyage is a weather routing service that optimizes voyages for all types of vessels. The service takes all parameters into account and is on average simulating hundreds of thousands of route variations for each voyage. This gives owners and operators the most fuel-efficient routes for their controlled vessels.,Undisclosed,,Automated port infrastructure,,2016,Denmark
Rensmarine,https://rensmarine.com,"Rensmarine offers Commercial, Operational, Nautical & Technical Ship management support to Owners, Charterers; Banks; Operators & Other Marine Service providers in order to optimize their revenues; mitigating risks and adds expertise to their organization by providing unparalleled service and support. ",Undisclosed,,Data audit & standardisation,,2016,Netherlands
AUDITCHAIN,https://auditchain.com/,the world's first decentralized continuous audit and reporting protocol ecosystem for digital asset and enterprise assurance and disclosure,Undisclosed,,Data audit & standardisation,,2017,Switzerland
"
Quandl",https://www.quandl.com/, Our platform then delivers the finished data product via API and tools familiar to the modern investor. ,Series B,"15,000,000",Data audit & standardisation,,2012,Canada
Idatase,https://idatase.de/,"NetLume is able to augment IoT platforms and your existing infrastructure, to enable rapid ECA prototyping of intelligent systems based on the asset and data management or even analytic processing structures of other underlying IoT platforms.",Undisclosed,,Digital twin of port,,2014,Germany
ScaleGrid,https://scalegrid.io/,"ScaleGrid provides a central console to manage the entire lifecycle of databases including provisioning/deprovisioning, scale up/down, high availability, disaster recovery, upgrade, monitoring, backup & restore.",Seed,,Data audit & standardisation,,2012,USA
Skylabteam,https://www.skylabteam.com/,"SkyLab provides critical IoT data logistic solutions to enterprises in order to help them gain valuable insights and drive proactive actions on asset optimisation and resource management. Our proven data gathering and delivery platform, combined with our network agnostic connectivity solution and data acceleration features, effectively address challenges such as latency, security and scalability.",Undisclosed,,Data audit & standardisation,,2015,Singapore
Amtiss,http://www.amtiss.com,a solution to reduce unscheduled maintenance by improving maintenance process with data analytics,Undisclosed,,Automated port infrastructure,,2016,Indonesia
Bext360,https://www.bext360.com/,"Bext360 is a complete coffee suppl(ai chain solution
Our mission is to utilize technology to improve the global supply chain for agricultural products.",Seed,"3,400,000",End-to-end supply chain transparency,,2016,USA
Ubix,https://ubixlabs.com/,"UBIX is a dynamic, learning, and self-refining cognitive AI-as-a-service platform that makes AI abundant, reliable, and cost-effective for enterprises. ",Series B,"4,100,000",Data audit & standardisation,,2013,USA
Offshore Navigation Limited (ONL),http://offshorenavigation.com/,"ONL shall provide the most accurate and advanced navigation system for worldwide offshore and maritime use, that will enable greater fuel optimization and make the global maritime transport more sustainable.",Seed,"55,800",Data audit & standardisation,,2014,England
He360,https://www.he360.com/,"HawkEye 360 provides unprecedented visibility of maritime shipping, helping identify and prevent illicit activities.",Series B,"99,300,000",Port cybersecurity,,2015,USA
Entopy,http://www.entopy.com,"Entopy's mission is to fundamentally change supply chain dynamics. Achieving supply chain visibility is a key business focus yet only 6% of supply chain stakeholders claim they are achieving this. In today's fast paced world, supply chains are key to unlocking efficiency's and customer satisfaction. ",Undisclosed,,End-to-end supply chain transparency,,2014,England
SecureMarking,http://www.securemarking.com,"SecureMarking is an end-to-end supply chain security platform that seamlessly integrates nanotechnology, blockchain, and the Internet of Things. ",Seed,,End-to-end supply chain transparency,,2016,USA
SupplyBloc,https://www.supplybloc.io/,A Revolutionary Approach to Supply-Chain Infrastructure,Undisclosed,,End-to-end supply chain transparency,,2018,USA
Verigo,http://www.verigo.io/,Verigo is on a mission to reduce supply chain abuse and help keep the products you rely on safe. ,Seed,,Time Sensitive Transport,,2013,Belgium
ClearMetal,http://www.ClearMetal.com,"ClearMetal is a continuous delivery experience company that enables supply chain organizations to optimize logistics and provide their customers with easy access to trusted, live information about their shipments. ",Series A,"31,000,000",End-to-end supply chain transparency,,2015,USA
Dorae,http://www.dorae.com,DORÆ is the blockchain-enabled physical commodities cloud.,Series B,"50,000,000",Paperwork simplification/reduction,,2014,England
Evertracker,http://www.control-tower.xyz,We provide full predictability and visibility along your entire global supply chain with almost one click. We’ve developed the FIRST SMART and NEUTRAL CONTROL TOWER for and with leading corporations and have partnered with some of the best companies in the world.,Undisclosed,,End-to-end supply chain transparency,,2019,Germany
Embedisens,http://www.embedisens.com,"How can a company ensure that their product is environmentally treated within their pre-set tolerances from one location to another preventing it from going bad?  Today there are several approaches to this monitoring effort, but all have their downfalls. ",Undisclosed,,End-to-end supply chain transparency,,2017,
CargoLoop,https://www.cargoloop.com/,"CargoLoop RTCT provides Internet-based vessel and shipment tracking service to cargo owners, vessel operators, NVOCCs and Freight Forwarders. Our proprietary technology solution allows interested parties find out their cargo location by providing booking number, container number, or their shipment stock ID.",Undisclosed,,End-to-end supply chain transparency,,2010,
sixfold,https://sixfold.com/,Sixfold is Europe’s leading real-time logistics visibility platform. Shippers and carriers seamlessly integrate their transport and fleet management systems with Sixfold to know where their goods are and when they will arrive — with minimal manual work from either parties.,Undisclosed,,End-to-end supply chain transparency,,2017,Austria
Tive,https://tive.co/,Tive captures real world data to inform supply chain decisions,,,End-to-end supply chain transparency,,2015,USA
SimPlus,https://simplus.sg/,"tracking and planning software with data driven simulation, ready to move into production and deliver value immediately",Undisclosed,,Data audit & standardisation,,2006,Singapore
Green Sea Guard Limited,http://greenseaguard.com,"Green Sea Guard provides solutions to coastguards, port authorities and ship-owners to monitor and control emissions and helping ship-owners to comply with the MARPOL regulations.",Undisclosed,,Retrofitting existing vessels with green tech,,2014,England
